thresh,video,frame,x,y,w,h,class
0.200000,videoplayback_001_1.webm,138,132,147,21,25,addedLane
0.200000,videoplayback_001_1.webm,138,311,179,13,15,school
0.200000,videoplayback_001_1.webm,139,123,144,24,28,addedLane
0.200000,videoplayback_001_1.webm,139,311,179,14,16,school
0.200000,videoplayback_001_1.webm,140,117,140,27,32,addedLane
0.200000,videoplayback_001_1.webm,140,310,178,14,17,school
0.200000,videoplayback_001_1.webm,141,108,137,27,34,addedLane
0.200000,videoplayback_001_1.webm,141,310,178,15,18,school
0.200000,videoplayback_001_1.webm,141,317,180,13,19,speedLimit35
0.200000,videoplayback_001_1.webm,142,100,132,29,40,addedLane
0.200000,videoplayback_001_1.webm,142,310,178,15,18,school
0.200000,videoplayback_001_1.webm,142,318,180,13,19,speedLimit35
0.200000,videoplayback_001_1.webm,143,91,129,29,42,addedLane
0.200000,videoplayback_001_1.webm,143,311,178,15,19,school
0.200000,videoplayback_001_1.webm,143,319,180,13,21,school
0.200000,videoplayback_001_1.webm,144,84,126,39,41,merge
0.200000,videoplayback_001_1.webm,144,315,179,13,18,school
0.200000,videoplayback_001_1.webm,144,320,179,17,24,signalAhead
0.200000,videoplayback_001_1.webm,145,71,125,34,38,addedLane
0.200000,videoplayback_001_1.webm,145,317,181,12,16,speedLimit35
0.200000,videoplayback_001_1.webm,145,321,178,15,22,turnLeft
0.200000,videoplayback_001_1.webm,146,58,119,46,44,addedLane
0.200000,videoplayback_001_1.webm,146,317,181,13,17,speedLimit35
0.200000,videoplayback_001_1.webm,146,321,179,16,22,turnLeft
0.200000,videoplayback_001_1.webm,147,42,115,50,48,addedLane
0.200000,videoplayback_001_1.webm,147,317,181,13,16,speedLimit35
0.200000,videoplayback_001_1.webm,147,321,180,15,19,turnLeft
0.200000,videoplayback_001_1.webm,148,31,111,63,59,addedLane
0.200000,videoplayback_001_1.webm,148,317,181,14,15,speedLimit35
0.200000,videoplayback_001_1.webm,149,16,106,59,64,addedLane
0.200000,videoplayback_001_1.webm,149,317,181,12,15,speedLimit35
0.200000,videoplayback_001_1.webm,149,321,181,11,17,signalAhead
0.200000,videoplayback_001_1.webm,150,8,98,56,70,pedestrianCrossing
0.200000,videoplayback_001_1.webm,150,314,180,13,15,school
0.200000,videoplayback_001_1.webm,150,319,180,11,16,speedLimit35
0.200000,videoplayback_001_1.webm,151,3,94,42,73,signalAhead
0.200000,videoplayback_001_1.webm,151,313,181,14,15,school
0.200000,videoplayback_001_1.webm,152,4,96,27,66,signalAhead
0.200000,videoplayback_001_1.webm,152,314,182,14,15,school
0.200000,videoplayback_001_1.webm,153,311,184,13,17,signalAhead
0.200000,videoplayback_001_1.webm,154,311,183,14,17,signalAhead
0.200000,videoplayback_001_1.webm,155,314,182,12,18,signalAhead
0.200000,videoplayback_001_1.webm,156,313,184,13,18,signalAhead
0.200000,videoplayback_001_1.webm,157,317,184,13,17,signalAhead
0.200000,videoplayback_001_1.webm,158,318,184,13,17,speedLimit35
0.200000,videoplayback_001_1.webm,159,316,185,13,16,signalAhead
0.200000,videoplayback_001_1.webm,159,321,184,14,18,speedLimit35
0.200000,videoplayback_001_1.webm,160,323,184,14,18,speedLimit35
0.200000,videoplayback_001_1.webm,161,321,186,13,15,speedLimit35
0.200000,videoplayback_001_1.webm,161,326,185,14,17,stop
0.200000,videoplayback_001_1.webm,162,321,186,13,15,speedLimit35
0.200000,videoplayback_001_1.webm,162,327,185,14,17,stop
0.200000,videoplayback_001_1.webm,163,320,186,13,16,speedLimit35
0.200000,videoplayback_001_1.webm,163,326,186,14,16,stop
0.200000,videoplayback_001_1.webm,164,321,186,12,16,speedLimit35
0.200000,videoplayback_001_1.webm,164,327,186,13,16,stop
0.200000,videoplayback_001_1.webm,165,323,186,13,16,signalAhead
0.200000,videoplayback_001_1.webm,165,329,186,14,16,stop
0.200000,videoplayback_001_1.webm,166,324,186,13,16,stop
0.200000,videoplayback_001_1.webm,166,330,186,13,16,speedLimit35
0.200000,videoplayback_001_1.webm,167,326,187,13,16,stop
0.200000,videoplayback_001_1.webm,167,332,186,14,17,signalAhead
0.200000,videoplayback_001_1.webm,168,328,187,12,15,stop
0.200000,videoplayback_001_1.webm,168,335,187,14,16,signalAhead
0.200000,videoplayback_001_1.webm,169,328,187,12,16,speedLimit35
0.200000,videoplayback_001_1.webm,169,335,186,14,17,speedLimit35
0.200000,videoplayback_001_1.webm,170,331,188,11,16,speedLimit35
0.200000,videoplayback_001_1.webm,170,338,187,12,18,signalAhead
0.200000,videoplayback_001_2.webm,1,226,166,16,17,school
0.200000,videoplayback_001_2.webm,1,236,165,22,19,school
0.200000,videoplayback_001_2.webm,2,164,147,12,25,speedLimit50
0.200000,videoplayback_001_2.webm,2,170,155,9,16,speedLimit35
0.200000,videoplayback_001_2.webm,4,159,117,18,26,signalAhead
0.200000,videoplayback_001_2.webm,4,161,117,26,36,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,5,151,115,26,38,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,5,151,132,16,30,speedLimit25
0.200000,videoplayback_001_2.webm,5,156,142,12,19,speedLimit35
0.200000,videoplayback_001_2.webm,5,465,180,10,14,rampSpeedAdvisory50
0.200000,videoplayback_001_2.webm,6,137,108,17,30,signalAhead
0.200000,videoplayback_001_2.webm,6,136,109,27,39,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,6,472,181,10,14,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,7,140,110,22,33,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,7,478,180,11,15,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,7,472,180,11,11,signalAhead
0.200000,videoplayback_001_2.webm,8,129,104,28,37,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,8,483,182,12,15,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,8,477,182,11,11,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,9,494,180,9,13,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,9,484,178,12,12,signalAhead
0.200000,videoplayback_001_2.webm,10,105,101,34,42,keepRight
0.200000,videoplayback_001_2.webm,10,256,186,7,13,rampSpeedAdvisory45
0.200000,videoplayback_001_2.webm,10,500,179,10,14,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,11,255,187,8,17,rampSpeedAdvisoryUrdbl
0.200000,videoplayback_001_2.webm,11,500,180,12,17,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,11,505,176,18,24,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,12,254,187,10,18,rampSpeedAdvisoryUrdbl
0.200000,videoplayback_001_2.webm,12,517,171,15,21,stopAhead
0.200000,videoplayback_001_2.webm,13,245,184,13,16,signalAhead
0.200000,videoplayback_001_2.webm,13,250,186,12,17,pedestrianCrossing
0.200000,videoplayback_001_2.webm,13,526,172,14,19,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,14,245,185,14,16,signalAhead
0.200000,videoplayback_001_2.webm,14,250,186,14,17,school
0.200000,videoplayback_001_2.webm,14,536,168,13,17,signalAhead
0.200000,videoplayback_001_2.webm,14,542,170,12,17,signalAhead
0.200000,videoplayback_001_2.webm,15,243,186,17,15,slow
0.200000,videoplayback_001_2.webm,15,248,187,17,18,merge
0.200000,videoplayback_001_2.webm,15,554,164,14,18,signalAhead
0.200000,videoplayback_001_2.webm,16,239,182,18,18,signalAhead
0.200000,videoplayback_001_2.webm,16,242,184,22,22,turnLeft
0.200000,videoplayback_001_2.webm,16,565,157,22,27,pedestrianCrossing
0.200000,videoplayback_001_2.webm,17,240,182,15,18,signalAhead
0.200000,videoplayback_001_2.webm,17,242,183,20,21,turnRight
0.200000,videoplayback_001_2.webm,17,576,160,22,25,signalAhead
0.200000,videoplayback_001_2.webm,18,241,180,19,25,signalAhead
0.200000,videoplayback_001_2.webm,18,590,161,23,27,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,18,597,156,25,34,stopAhead
0.200000,videoplayback_001_2.webm,19,237,177,16,22,pedestrianCrossing
0.200000,videoplayback_001_2.webm,19,238,177,22,29,signalAhead
0.200000,videoplayback_001_2.webm,19,607,153,29,34,rampSpeedAdvisory50
0.200000,videoplayback_001_2.webm,20,235,177,15,21,pedestrianCrossing
0.200000,videoplayback_001_2.webm,20,235,176,21,30,signalAhead
0.200000,videoplayback_001_2.webm,20,633,154,24,31,schoolSpeedLimit25
0.200000,videoplayback_001_2.webm,20,630,146,35,47,rampSpeedAdvisory50
0.200000,videoplayback_001_2.webm,21,232,176,26,29,signalAhead
0.200000,videoplayback_001_2.webm,21,651,140,43,48,signalAhead
