"","thresh","video","frame","x","y","w","h","class","fog","overlap"
"2276",0.4,"videoplayback_002_1.webm",20,255,242,19,25,"merge",0,FALSE
"2277",0.4,"videoplayback_002_1.webm",21,254,241,22,28,"merge",0,FALSE
"2278",0.4,"videoplayback_002_1.webm",21,552,291,19,20,"pedestrianCrossing",0,TRUE
"2279",0.4,"videoplayback_002_1.webm",22,253,239,24,31,"merge",0,FALSE
"2280",0.4,"videoplayback_002_1.webm",22,572,293,21,23,"pedestrianCrossing",0,TRUE
"2281",0.4,"videoplayback_002_1.webm",23,254,239,22,31,"merge",0,FALSE
"2282",0.4,"videoplayback_002_1.webm",24,253,239,22,28,"merge",0,FALSE
"2283",0.4,"videoplayback_002_1.webm",25,250,240,17,25,"slow",0,TRUE
"2284",0.4,"videoplayback_002_1.webm",25,252,239,25,29,"merge",0,TRUE
"2285",0.4,"videoplayback_002_1.webm",26,249,240,18,24,"slow",0,TRUE
"2286",0.4,"videoplayback_002_1.webm",26,251,239,27,28,"merge",0,TRUE
"2287",0.4,"videoplayback_002_1.webm",27,248,238,31,29,"merge",0,FALSE
"2288",0.4,"videoplayback_002_1.webm",28,246,237,27,29,"addedLane",0,FALSE
"2289",0.4,"videoplayback_002_1.webm",29,247,236,26,29,"merge",0,FALSE
"2290",0.4,"videoplayback_002_1.webm",30,245,236,27,30,"dip",0,FALSE
"2291",0.4,"videoplayback_002_1.webm",31,244,235,29,29,"addedLane",0,FALSE
"2292",0.4,"videoplayback_002_1.webm",32,244,233,28,31,"merge",0,FALSE
"2293",0.4,"videoplayback_002_1.webm",33,242,232,29,31,"addedLane",0,FALSE
"2294",0.4,"videoplayback_002_1.webm",34,239,232,33,30,"addedLane",0,FALSE
"2295",0.4,"videoplayback_002_1.webm",35,239,230,32,32,"signalAhead",0,FALSE
"2296",0.4,"videoplayback_002_1.webm",36,237,229,33,32,"addedLane",0,FALSE
"2297",0.4,"videoplayback_002_1.webm",37,236,229,34,32,"addedLane",0,FALSE
"2298",0.4,"videoplayback_002_1.webm",38,237,229,31,32,"merge",0,FALSE
"2299",0.4,"videoplayback_002_1.webm",39,237,229,32,31,"merge",0,FALSE
"2300",0.4,"videoplayback_002_1.webm",40,238,229,31,31,"merge",0,FALSE
"2301",0.4,"videoplayback_002_1.webm",41,238,228,31,30,"merge",0,FALSE
"2302",0.4,"videoplayback_002_1.webm",42,239,228,29,29,"merge",0,FALSE
"2303",0.4,"videoplayback_002_1.webm",43,239,228,30,30,"merge",0,FALSE
"2304",0.4,"videoplayback_002_1.webm",44,238,228,30,29,"merge",0,FALSE
"2305",0.4,"videoplayback_002_1.webm",45,238,227,29,30,"merge",0,FALSE
"2306",0.4,"videoplayback_002_1.webm",46,238,227,28,28,"signalAhead",0,FALSE
"2307",0.4,"videoplayback_002_1.webm",47,235,228,29,26,"merge",0,FALSE
"2308",0.4,"videoplayback_002_1.webm",48,233,226,29,27,"merge",0,FALSE
"2309",0.4,"videoplayback_002_1.webm",49,226,225,23,26,"rampSpeedAdvisory45",0,FALSE
"2310",0.4,"videoplayback_002_1.webm",50,225,225,21,25,"rampSpeedAdvisory45",0,TRUE
"2311",0.4,"videoplayback_002_1.webm",50,230,223,27,28,"merge",0,TRUE
"2312",0.4,"videoplayback_002_1.webm",59,180,198,28,42,"pedestrianCrossing",0,FALSE
"2313",0.4,"videoplayback_002_1.webm",61,165,180,39,49,"turnRight",0,FALSE
"2314",0.4,"videoplayback_002_1.webm",62,161,177,40,50,"turnRight",0,FALSE
"2315",0.4,"videoplayback_002_1.webm",63,152,175,39,49,"turnRight",0,FALSE
"2316",0.4,"videoplayback_002_1.webm",64,146,170,39,51,"turnRight",0,FALSE
"2317",0.4,"videoplayback_002_1.webm",65,137,166,41,49,"turnRight",0,FALSE
"2318",0.4,"videoplayback_002_1.webm",66,118,161,49,56,"pedestrianCrossing",0,FALSE
"2319",0.4,"videoplayback_002_1.webm",66,261,237,20,25,"signalAhead",0,TRUE
"2320",0.4,"videoplayback_002_1.webm",67,106,155,53,61,"pedestrianCrossing",0,FALSE
