"","thresh","video","frame","x","y","w","h","class","overlap"
"184",0.2,"videoplayback_001_1.webm",96,253,180,12,15,"stop",FALSE
"185",0.2,"videoplayback_001_1.webm",97,255,181,11,15,"signalAhead",FALSE
"186",0.2,"videoplayback_001_1.webm",98,255,180,12,17,"signalAhead",FALSE
"187",0.2,"videoplayback_001_1.webm",99,254,179,12,17,"school",FALSE
"188",0.2,"videoplayback_001_1.webm",100,253,179,13,17,"stop",FALSE
"189",0.2,"videoplayback_001_1.webm",101,251,179,14,18,"stop",FALSE
"190",0.2,"videoplayback_001_1.webm",102,249,178,14,18,"pedestrianCrossing",FALSE
"191",0.2,"videoplayback_001_1.webm",103,234,177,11,14,"yieldAhead",FALSE
"192",0.2,"videoplayback_001_1.webm",103,246,177,16,18,"pedestrianCrossing",TRUE
"193",0.2,"videoplayback_001_1.webm",104,232,176,12,14,"merge",TRUE
"194",0.2,"videoplayback_001_1.webm",104,242,177,17,18,"pedestrianCrossing",TRUE
"195",0.2,"videoplayback_001_1.webm",105,229,176,14,13,"merge",TRUE
"196",0.2,"videoplayback_001_1.webm",105,239,176,19,18,"signalAhead",TRUE
"197",0.2,"videoplayback_001_1.webm",105,690,171,13,23,"rampSpeedAdvisoryUrdbl",TRUE
"198",0.2,"videoplayback_001_1.webm",106,227,176,14,13,"merge",TRUE
"199",0.2,"videoplayback_001_1.webm",106,236,176,20,18,"stopAhead",TRUE
"200",0.2,"videoplayback_001_1.webm",107,227,177,11,13,"merge",TRUE
"201",0.2,"videoplayback_001_1.webm",107,237,177,17,18,"stop",TRUE
"202",0.2,"videoplayback_001_1.webm",108,226,176,11,14,"merge",FALSE
"203",0.2,"videoplayback_001_1.webm",108,238,176,14,18,"signalAhead",TRUE
"204",0.2,"videoplayback_001_1.webm",109,225,177,10,13,"merge",FALSE
"205",0.2,"videoplayback_001_1.webm",109,237,177,14,18,"signalAhead",TRUE
"206",0.2,"videoplayback_001_1.webm",110,225,177,10,13,"pedestrianCrossing",FALSE
"207",0.2,"videoplayback_001_1.webm",110,238,177,14,18,"signalAhead",TRUE
"208",0.2,"videoplayback_001_1.webm",111,240,176,13,19,"yieldAhead",FALSE
"209",0.2,"videoplayback_001_1.webm",112,238,177,12,19,"signalAhead",FALSE
"210",0.2,"videoplayback_001_1.webm",113,222,175,10,15,"keepRight",FALSE
"211",0.2,"videoplayback_001_1.webm",113,234,175,13,20,"signalAhead",TRUE
"212",0.2,"videoplayback_001_1.webm",114,219,174,10,14,"yieldAhead",FALSE
"213",0.2,"videoplayback_001_1.webm",114,230,174,14,19,"signalAhead",TRUE
"214",0.2,"videoplayback_001_1.webm",115,217,173,11,15,"merge",TRUE
"215",0.2,"videoplayback_001_1.webm",115,227,172,14,20,"signalAhead",TRUE
"216",0.2,"videoplayback_001_1.webm",116,215,173,12,14,"merge",TRUE
"217",0.2,"videoplayback_001_1.webm",116,225,173,14,18,"signalAhead",TRUE
"218",0.2,"videoplayback_001_1.webm",117,212,171,12,15,"merge",TRUE
"219",0.2,"videoplayback_001_1.webm",117,222,171,14,19,"signalAhead",TRUE
"220",0.2,"videoplayback_001_1.webm",118,210,170,12,16,"merge",TRUE
"221",0.2,"videoplayback_001_1.webm",118,220,169,14,20,"signalAhead",TRUE
"222",0.2,"videoplayback_001_1.webm",119,206,168,14,16,"signalAhead",TRUE
"223",0.2,"videoplayback_001_1.webm",119,216,168,16,20,"signalAhead",TRUE
"224",0.2,"videoplayback_001_1.webm",120,201,165,15,17,"merge",TRUE
"225",0.2,"videoplayback_001_1.webm",120,213,166,17,21,"signalAhead",TRUE
"226",0.2,"videoplayback_001_1.webm",121,198,164,16,19,"merge",TRUE
"227",0.2,"videoplayback_001_1.webm",121,212,164,19,22,"turnRight",TRUE
"228",0.2,"videoplayback_001_1.webm",122,183,156,20,26,"signalAhead",TRUE
"229",0.2,"videoplayback_001_1.webm",122,196,158,18,22,"merge",TRUE
"230",0.2,"videoplayback_001_1.webm",123,184,155,21,28,"slow",TRUE
"231",0.2,"videoplayback_001_1.webm",123,195,157,18,23,"merge",TRUE
"232",0.2,"videoplayback_001_1.webm",124,183,152,22,31,"addedLane",TRUE
"233",0.2,"videoplayback_001_1.webm",124,192,155,18,25,"merge",TRUE
"234",0.2,"videoplayback_001_1.webm",125,178,152,25,30,"addedLane",TRUE
"235",0.2,"videoplayback_001_1.webm",125,187,154,20,25,"merge",TRUE
"236",0.2,"videoplayback_001_1.webm",126,176,150,25,31,"addedLane",TRUE
"237",0.2,"videoplayback_001_1.webm",126,184,153,20,25,"merge",TRUE
"238",0.2,"videoplayback_001_1.webm",127,180,151,21,27,"merge",FALSE
"239",0.2,"videoplayback_001_1.webm",128,179,152,21,25,"merge",FALSE
"240",0.2,"videoplayback_001_1.webm",129,174,151,20,27,"merge",FALSE
"241",0.2,"videoplayback_001_1.webm",130,171,150,22,27,"merge",FALSE
"242",0.2,"videoplayback_001_1.webm",131,168,150,23,26,"merge",FALSE
"243",0.2,"videoplayback_001_1.webm",132,162,149,25,27,"addedLane",FALSE
"244",0.2,"videoplayback_001_1.webm",133,159,148,22,28,"merge",FALSE
"245",0.2,"videoplayback_001_1.webm",134,156,149,21,25,"pedestrianCrossing",FALSE
"246",0.2,"videoplayback_001_1.webm",134,310,178,13,16,"school",TRUE
"247",0.2,"videoplayback_001_1.webm",135,151,149,20,26,"pedestrianCrossing",FALSE
"248",0.2,"videoplayback_001_1.webm",136,144,148,23,27,"pedestrianCrossing",FALSE
"249",0.2,"videoplayback_001_1.webm",137,137,148,22,25,"addedLane",FALSE
"250",0.2,"videoplayback_001_1.webm",137,310,179,13,17,"school",TRUE
"251",0.2,"videoplayback_001_1.webm",137,317,181,12,17,"speedLimit35",TRUE
"252",0.2,"videoplayback_001_1.webm",138,132,147,21,25,"addedLane",FALSE
"253",0.2,"videoplayback_001_1.webm",138,311,179,13,15,"school",TRUE
"254",0.2,"videoplayback_001_1.webm",139,123,144,24,28,"addedLane",FALSE
"255",0.2,"videoplayback_001_1.webm",139,311,179,14,16,"school",TRUE
"256",0.2,"videoplayback_001_1.webm",140,117,140,27,32,"addedLane",FALSE
"257",0.2,"videoplayback_001_1.webm",140,310,178,14,17,"school",TRUE
"258",0.2,"videoplayback_001_1.webm",141,108,137,27,34,"addedLane",FALSE
"259",0.2,"videoplayback_001_1.webm",141,310,178,15,18,"school",TRUE
"260",0.2,"videoplayback_001_1.webm",141,317,180,13,19,"speedLimit35",TRUE
"261",0.2,"videoplayback_001_1.webm",142,100,132,29,40,"addedLane",FALSE
"262",0.2,"videoplayback_001_1.webm",142,310,178,15,18,"school",TRUE
"263",0.2,"videoplayback_001_1.webm",142,318,180,13,19,"speedLimit35",TRUE
"264",0.2,"videoplayback_001_1.webm",143,91,129,29,42,"addedLane",FALSE
"265",0.2,"videoplayback_001_1.webm",143,311,178,15,19,"school",TRUE
"266",0.2,"videoplayback_001_1.webm",143,319,180,13,21,"school",TRUE
"267",0.2,"videoplayback_001_1.webm",144,84,126,39,41,"merge",FALSE
"268",0.2,"videoplayback_001_1.webm",144,315,179,13,18,"school",TRUE
"269",0.2,"videoplayback_001_1.webm",144,320,179,17,24,"signalAhead",TRUE
"270",0.2,"videoplayback_001_1.webm",145,71,125,34,38,"addedLane",FALSE
"271",0.2,"videoplayback_001_1.webm",145,317,181,12,16,"speedLimit35",TRUE
"272",0.2,"videoplayback_001_1.webm",145,321,178,15,22,"turnLeft",TRUE
"273",0.2,"videoplayback_001_1.webm",146,58,119,46,44,"addedLane",FALSE
"274",0.2,"videoplayback_001_1.webm",146,317,181,13,17,"speedLimit35",TRUE
"275",0.2,"videoplayback_001_1.webm",146,321,179,16,22,"turnLeft",TRUE
"276",0.2,"videoplayback_001_1.webm",147,42,115,50,48,"addedLane",FALSE
"277",0.2,"videoplayback_001_1.webm",147,317,181,13,16,"speedLimit35",TRUE
"278",0.2,"videoplayback_001_1.webm",147,321,180,15,19,"turnLeft",TRUE
"279",0.2,"videoplayback_001_1.webm",148,31,111,63,59,"addedLane",FALSE
"280",0.2,"videoplayback_001_1.webm",148,317,181,14,15,"speedLimit35",TRUE
"281",0.2,"videoplayback_001_1.webm",149,16,106,59,64,"addedLane",FALSE
"282",0.2,"videoplayback_001_1.webm",149,317,181,12,15,"speedLimit35",TRUE
"283",0.2,"videoplayback_001_1.webm",149,321,181,11,17,"signalAhead",TRUE
"284",0.2,"videoplayback_001_1.webm",150,8,98,56,70,"pedestrianCrossing",FALSE
"285",0.2,"videoplayback_001_1.webm",150,314,180,13,15,"school",TRUE
"286",0.2,"videoplayback_001_1.webm",150,319,180,11,16,"speedLimit35",TRUE
"287",0.2,"videoplayback_001_1.webm",151,3,94,42,73,"signalAhead",FALSE
"288",0.2,"videoplayback_001_1.webm",151,313,181,14,15,"school",TRUE
"289",0.2,"videoplayback_001_1.webm",152,4,96,27,66,"signalAhead",FALSE
"290",0.2,"videoplayback_001_1.webm",152,314,182,14,15,"school",TRUE
"291",0.2,"videoplayback_001_1.webm",153,311,184,13,17,"signalAhead",FALSE
"292",0.2,"videoplayback_001_1.webm",154,311,183,14,17,"signalAhead",FALSE
"293",0.2,"videoplayback_001_1.webm",155,314,182,12,18,"signalAhead",FALSE
"294",0.2,"videoplayback_001_1.webm",156,313,184,13,18,"signalAhead",FALSE
"295",0.2,"videoplayback_001_1.webm",157,317,184,13,17,"signalAhead",FALSE
"296",0.2,"videoplayback_001_1.webm",158,318,184,13,17,"speedLimit35",FALSE
"297",0.2,"videoplayback_001_1.webm",159,316,185,13,16,"signalAhead",TRUE
"298",0.2,"videoplayback_001_1.webm",159,321,184,14,18,"speedLimit35",TRUE
"299",0.2,"videoplayback_001_1.webm",160,323,184,14,18,"speedLimit35",FALSE
"300",0.2,"videoplayback_001_1.webm",161,321,186,13,15,"speedLimit35",TRUE
"301",0.2,"videoplayback_001_1.webm",161,326,185,14,17,"stop",TRUE
"302",0.2,"videoplayback_001_1.webm",162,321,186,13,15,"speedLimit35",TRUE
"303",0.2,"videoplayback_001_1.webm",162,327,185,14,17,"stop",TRUE
"304",0.2,"videoplayback_001_1.webm",163,320,186,13,16,"speedLimit35",TRUE
"305",0.2,"videoplayback_001_1.webm",163,326,186,14,16,"stop",TRUE
"306",0.2,"videoplayback_001_1.webm",164,321,186,12,16,"speedLimit35",TRUE
